	summarized	lineages	abundances	resid	coverage
SRR18006913	[('Delta', 0.8957089439886745), ('Omicron', 0.064465812308998), ('Other', 0.02756868722111668)]	AY.39.1.2 BA.1.17-like B.1.617.2 B.1.551 B.1.545 AY.79 B.1.157 AY.3	0.87451069 0.06446581 0.01502242 0.01359125 0.01286170 0.00514845 0.00111573 0.00102738	8.57443448637227	98.98672374009297
SRR18006914	[('Delta', 0.7956198967296313), ('Omicron', 0.1864406053189524), ('Other', 0.017940233173231308)]	AY.39.1.2 BA.1.17 AY.1 AY.39.1 B.1.617.2 BA.1.17.1 B.1-like BA.1.3 B.1.336 BA.1	0.68000006 0.16631317 0.05494489 0.03428592 0.02638903 0.01190479 0.01140430 0.00694442 0.00653593 0.00127823	6.516530957287784	99.41143029127512
SRR18006916	[('Delta', 0.42986696605588476), ('Omicron', 0.3921007796310543), ('Other', 0.15444590878661116)]	BA.1.17 AY.39.1.2 B.1 B.1.617.2 AY.1 AY.113 B.1.105 AY.122.1	0.39210078 0.38548298 0.15283570 0.02907194 0.00873884 0.00552911 0.00161021 0.00104409	10.268331644915326	99.56191686452864
SRR18006917	[('Omicron', 0.46088298851559967), ('Delta', 0.4098078228031333), ('Other', 0.12103799353551961)]	BA.1.17 AY.39.1.2 B.1 B.1.83 AY.39.1 B.1.545 B.1.529 AY.39.1.1	0.46088299 0.40683900 0.11496495 0.00353232 0.00180196 0.00135870 0.00118203 0.00116686	6.46166277804396	99.9832792696385
SRR18006919	[('Delta', 0.7382185788329138), ('Omicron', 0.1668355919148319), ('Other', 0.07877632779559883)]	AY.39.1.4 BA.1.17 B.1 B.1.617.2	0.70427942 0.16683559 0.07877633 0.03393916	10.613261970954959	99.56860515667324
SRR18006920	[('Delta', 0.9991801477069174)]	AY.39.1.4	0.99918015	5.788648393225941	96.72942514129018
SRR18006921	[('Omicron', 0.9999998671669635)]	BA.1.17	0.99999987	3.057276021276201	90.42905394107615
SRR18006923	[('Delta', 0.4495286689739607), ('Omicron', 0.3884655456452541), ('Other', 0.1533920276615231)]	AY.39.1.4 BA.1.17 B.1 B.1.617.2 B.1.545 AY.39.1 B.1.395 B.1.83	0.44059000 0.38846555 0.14765676 0.00687401 0.00208117 0.00206466 0.00201613 0.00163797	7.64417226539661	99.9933117078554
SRR18006924	[('Delta', 0.7610619923199081), ('Omicron', 0.19326027549600755), ('Other', 0.0440011982156783)]	AY.39.1.4 BA.1.17 AY.44 B.1.545 B.1 B.1.195 B.1.96 B.1.617.2 B.1.378 B.1.609 AY.111 B.1.83 B.1.70 B.1.529 BA.1.3	0.73120700 0.19178100 0.02302808 0.01265820 0.01021708 0.00522193 0.00510204 0.00468100 0.00305810 0.00218818 0.00214591 0.00205339 0.00188678 0.00161551 0.00147928	7.3250198387065915	99.89633147175869
