Amplicon	B.1.1.28	P.1.1
13	0.6455696202531647	0.35443037974683533
19	0.5531914893617023	0.44680851063829774
57	0.6515151515151515	0.3484848484848485
71	0.6725663716814159	0.32743362831858414
72	0.6725663716814159	0.32743362831858414
73	0.6456692913385826	0.35433070866141736
74	0.6456692913385826	0.35433070866141736
76	0.6521739130434783	0.34782608695652173
77	0.7149321266968326	0.2850678733031674
82	0.7887323943661972	0.21126760563380276
87	0.624203821656051	0.37579617834394896
94	0.8187134502923977	0.18128654970760227
95	0.16129032258064513	0.8387096774193549
