Amplicon	AY.107	B.1.1.529
14	0.4270833333333333	0.5729166666666667
30	0.9959016393442623	0.004098360655737654
37	0.9919354838709676	0.008064516129032362
49	0.9919028340080972	0.0080971659919028
50	0.9919028340080972	0.0080971659919028
54	0.9917355371900828	0.008264462809917217
55	0.9917355371900828	0.008264462809917217
75	0.11494252873563215	0.8850574712643678
76	0.8565737051792829	0.14342629482071712
78	0.0	1.0
79	0.0	1.0
80	0.0078125	0.9921875
83	0.9676113360323888	0.0323886639676112
85	0.98744769874477	0.012552301255229992
89	0.9835390946502056	0.016460905349794386
94	0.3666666666666667	0.6333333333333333
95	0.2352941176470588	0.7647058823529412
