Amplicon	AY.107	BA.2.3.9
14	0.3697478991596639	0.6302521008403361
37	0.9838709677419356	0.01612903225806439
49	0.97165991902834	0.028340080971659964
50	0.97165991902834	0.028340080971659964
54	0.9958677685950412	0.004132231404958775
55	0.9958677685950412	0.004132231404958775
66	0.016574585635359185	0.9834254143646408
73	0.006451612903225823	0.9935483870967742
74	0.006451612903225823	0.9935483870967742
75	0.11162790697674418	0.8883720930232558
76	0.8493723849372385	0.15062761506276146
78	0.0	1.0
79	0.0	1.0
80	0.005494505494505586	0.9945054945054944
83	0.9590163934426228	0.040983606557377206
85	0.9836734693877552	0.01632653061224476
94	0.1807228915662651	0.8192771084337349
95	0.1698113207547169	0.8301886792452831
96	0.0	1.0
97	0.0	1.0
