Amplicon	AY.107	BA.2.3.9
14	0.304	0.696
37	0.9877551020408164	0.012244897959183598
49	0.9518072289156626	0.048192771084337394
50	0.9518072289156626	0.048192771084337394
54	0.9836734693877552	0.01632653061224476
55	0.9836734693877552	0.01632653061224476
66	0.03305785123966942	0.9669421487603306
73	0.01382488479262678	0.9861751152073732
74	0.01382488479262678	0.9861751152073732
75	0.0370370370370372	0.9629629629629628
76	0.7004048582995951	0.2995951417004049
78	0.0	1.0
79	0.0	1.0
80	0.004424778761061954	0.995575221238938
83	0.9147286821705426	0.0852713178294574
85	0.9058823529411764	0.09411764705882364
94	0.13157894736842102	0.868421052631579
95	0.0	1.0
96	0.0	1.0
97	0.0	1.0
