Amplicon	AY.39.1.2	BA.1.17
5	0.5390946502057613	0.4609053497942387
6	0.5390946502057613	0.4609053497942387
9	0.5815602836879433	0.4184397163120567
14	0.4495912806539509	0.5504087193460492
19	0.5425867507886436	0.4574132492113564
20	0.5425867507886436	0.4574132492113564
21	0.3548387096774194	0.6451612903225806
24	0.4414414414414414	0.5585585585585586
28	0.5205479452054795	0.47945205479452047
30	0.5588235294117647	0.4411764705882353
34	0.5185185185185186	0.4814814814814814
35	0.5185185185185186	0.4814814814814814
37	0.4487179487179487	0.5512820512820513
38	0.525	0.475
50	0.5220125786163522	0.4779874213836478
51	0.5220125786163522	0.4779874213836478
54	0.4961439588688946	0.5038560411311054
55	0.4961439588688946	0.5038560411311054
61	0.4803149606299212	0.5196850393700788
71	0.4740061162079511	0.5259938837920489
72	0.465648854961832	0.5343511450381679
75	0.3666666666666667	0.6333333333333333
76	0.4610778443113772	0.5389221556886228
78	0.0	1.0
79	0.0	1.0
85	0.3559322033898305	0.6440677966101696
87	0.4598930481283422	0.5401069518716578
88	0.4651162790697675	0.5348837209302325
89	0.4193548387096774	0.5806451612903226
98	0.4666666666666667	0.5333333333333333
