Amplicon	AY.39.1.2	BA.1.17
5	0.8738738738738738	0.12612612612612617
6	0.8738738738738738	0.12612612612612617
14	0.911504424778761	0.08849557522123896
21	1.0	0.0
24	0.9375	0.0625
30	0.9225806451612903	0.07741935483870965
37	0.8532110091743119	0.14678899082568808
54	0.8962536023054755	0.10374639769452454
55	0.8962536023054755	0.10374639769452454
61	0.936842105263158	0.06315789473684197
71	0.9428571428571428	0.05714285714285716
72	0.9428571428571428	0.05714285714285716
78	0.9951923076923076	0.004807692307692402
85	0.8863636363636364	0.11363636363636365
96	0.9797297297297296	0.020270270270270396
97	0.9797297297297296	0.020270270270270396
98	0.9373040752351096	0.06269592476489039
