Amplicon	AY.98.1	B.1.1.529
2	0.4848484848484848	0.5151515151515151
14	0.6538461538461539	0.34615384615384615
18	0.320754716981132	0.679245283018868
21	0.6585365853658537	0.3414634146341463
24	0.4901960784313725	0.5098039215686275
30	0.6046511627906976	0.39534883720930236
34	0.9135802469135803	0.08641975308641969
35	0.9135802469135803	0.08641975308641969
37	0.4782608695652174	0.5217391304347826
75	0.0714285714285714	0.9285714285714286
76	1.0	0.0
78	0.0	1.0
79	0.0	1.0
80	0.08333333333333337	0.9166666666666666
81	0.0	1.0
82	0.0	1.0
89	1.0	0.0
93	1.0	0.0
94	0.925	0.07499999999999996
96	1.0	0.0
97	1.0	0.0
98	0.9787234042553192	0.02127659574468077
