Amplicon	AY.132	AY.63
5	0.9285714285714286	0.0714285714285714
7	0.935483870967742	0.06451612903225801
14	0.984	0.016000000000000014
16	0.983739837398374	0.016260162601625994
21	0.979591836734694	0.020408163265306034
24	0.9203187250996016	0.07968127490039845
37	0.9839357429718876	0.016064257028112428
64	0.9365079365079364	0.0634920634920636
66	0.9595141700404858	0.04048582995951422
86	0.959349593495935	0.04065040650406504
93	0.8765432098765432	0.12345679012345678
97	0.7073170731707317	0.29268292682926833
99	0.5	0.5
