Amplicon	AY.41	BA.2.62
2	0.2666666666666667	0.7333333333333333
3	0.2666666666666667	0.7333333333333333
9	0.5	0.5
14	0.6190476190476191	0.38095238095238093
21	0.5	0.5
24	0.4705882352941176	0.5294117647058825
30	0.5217391304347826	0.4782608695652174
31	0.5106382978723405	0.4893617021276595
32	0.5106382978723405	0.4893617021276595
34	0.6829268292682926	0.3170731707317074
35	0.6829268292682926	0.3170731707317074
37	0.5609756097560976	0.4390243902439024
45	0.4838709677419355	0.5161290322580645
52	0.6666666666666667	0.33333333333333326
54	0.6818181818181818	0.31818181818181823
55	0.6818181818181818	0.31818181818181823
66	0.6060606060606061	0.3939393939393939
73	0.5106382978723405	0.4893617021276595
74	0.5106382978723405	0.4893617021276595
77	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.5490196078431373	0.4509803921568627
81	0.509090909090909	0.49090909090909096
82	0.509090909090909	0.49090909090909096
83	0.559322033898305	0.44067796610169496
85	0.5	0.5
87	0.5357142857142857	0.4642857142857143
88	0.5483870967741936	0.4516129032258064
89	0.5428571428571428	0.4571428571428572
91	0.5573770491803278	0.4426229508196722
92	0.5068493150684932	0.4931506849315068
93	0.5294117647058824	0.47058823529411764
94	0.576271186440678	0.423728813559322
95	0.5362318840579711	0.46376811594202894
98	0.53125	0.46875
99	0.5454545454545455	0.4545454545454545
