Amplicon	AY.41	BA.2.62
2	0.125	0.875
3	0.125	0.875
9	0.125	0.875
31	0.08333333333333337	0.9166666666666666
32	0.08333333333333337	0.9166666666666666
34	0.12	0.88
35	0.12	0.88
52	0.18181818181818177	0.8181818181818182
66	0.23684210526315785	0.7631578947368421
73	0.08510638297872342	0.9148936170212766
74	0.08510638297872342	0.9148936170212766
77	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.09615384615384603	0.903846153846154
81	0.07272727272727275	0.9272727272727272
82	0.13461538461538458	0.8653846153846154
88	0.06000000000000005	0.94
89	0.0	1.0
91	0.11764705882352944	0.8823529411764706
94	0.15000000000000002	0.85
95	0.0	1.0
99	0.125	0.875
