Amplicon	AY.98.1	B.1.617
2	1.0	0.0
14	1.0	0.0
18	0.5471698113207547	0.4528301886792453
21	1.0	0.0
24	0.5909090909090909	0.40909090909090906
30	1.0	0.0
33	0.7647058823529411	0.23529411764705888
37	0.631578947368421	0.368421052631579
54	1.0	0.0
55	1.0	0.0
64	1.0	0.0
65	1.0	0.0
71	0.8571428571428571	0.1428571428571429
72	0.8571428571428571	0.1428571428571429
74	0.8333333333333334	0.16666666666666663
76	0.7142857142857143	0.2857142857142857
77	0.7142857142857143	0.2857142857142857
89	1.0	0.0
92	0.75	0.25
93	1.0	0.0
94	0.9444444444444444	0.05555555555555558
95	0.8888888888888888	0.11111111111111116
97	1.0	0.0
