Amplicon	AY.103	XS
37	0.812206572769953	0.187793427230047
54	0.7913043478260869	0.20869565217391306
55	0.7913043478260869	0.20869565217391306
71	0.7986577181208053	0.20134228187919467
72	0.7986577181208053	0.20134228187919467
75	0.6737967914438503	0.3262032085561497
76	0.7101449275362319	0.28985507246376807
78	0.0	1.0
79	0.0	1.0
80	0.47619047619047616	0.5238095238095238
81	0.59375	0.40625
82	0.59375	0.40625
85	0.6149732620320856	0.3850267379679144
87	0.7161572052401747	0.2838427947598253
88	0.6604651162790698	0.3395348837209302
89	0.5546558704453441	0.44534412955465585
92	0.4131736526946107	0.5868263473053893
93	0.4179894179894179	0.5820105820105821
94	0.5726141078838175	0.4273858921161825
95	0.5732217573221757	0.42677824267782427
98	0.4630350194552529	0.5369649805447472
