Amplicon	AY.103	BA.1
9	0.2157676348547718	0.7842323651452282
14	0.2972972972972973	0.7027027027027026
21	0.2760180995475113	0.7239819004524888
28	0.27118644067796616	0.7288135593220338
34	0.25396825396825395	0.746031746031746
35	0.25396825396825395	0.746031746031746
38	0.2677824267782427	0.7322175732217573
50	0.3125	0.6875
51	0.3125	0.6875
71	0.3389121338912134	0.6610878661087867
72	0.3389121338912134	0.6610878661087867
75	0.256	0.744
76	0.6178861788617886	0.38211382113821135
78	0.0	1.0
79	0.0	1.0
80	0.22707423580786024	0.7729257641921398
81	0.29508196721311475	0.7049180327868853
82	0.29508196721311475	0.7049180327868853
85	0.2857142857142857	0.7142857142857143
87	0.4	0.6
88	0.1984732824427481	0.8015267175572519
89	0.0	1.0
94	0.15019762845849804	0.849802371541502
95	0.4769230769230769	0.5230769230769231
