Amplicon	AY.132	AY.63
5	0.9508196721311476	0.0491803278688524
7	0.9959514170040484	0.004048582995951566
14	0.9879032258064516	0.012096774193548376
16	0.9877551020408164	0.012244897959183598
21	0.979591836734694	0.020408163265306034
24	0.991701244813278	0.008298755186721962
37	0.9836734693877552	0.01632653061224476
64	0.9754098360655736	0.024590163934426368
66	0.967479674796748	0.03252032520325199
86	0.9794238683127572	0.020576131687242816
93	0.9365079365079364	0.0634920634920636
97	0.8777292576419214	0.12227074235807855
