Amplicon	BA.1.10	BA.2.23
28	0.9080459770114944	0.09195402298850563
38	0.9051383399209486	0.09486166007905139
50	0.9838056680161944	0.0161943319838056
51	0.9838056680161944	0.0161943319838056
56	0.9367588932806324	0.06324110671936756
57	0.9367588932806324	0.06324110671936756
73	0.5934959349593496	0.4065040650406504
74	0.5934959349593496	0.4065040650406504
75	0.9055793991416308	0.09442060085836923
76	0.8725099601593626	0.12749003984063745
77	0.823076923076923	0.17692307692307696
80	0.915057915057915	0.084942084942085
81	0.9433198380566802	0.05668016194331982
82	0.9433198380566802	0.05668016194331982
88	0.9839357429718876	0.016064257028112428
