Amplicon	BA.1.10	BA.2.23
28	0.9755102040816328	0.024489795918367196
38	0.9796747967479674	0.020325203252032575
50	0.9959349593495936	0.00406504065040636
51	0.9959349593495936	0.00406504065040636
56	0.9634146341463414	0.03658536585365857
57	0.9634146341463414	0.03658536585365857
73	0.796116504854369	0.20388349514563098
74	0.796116504854369	0.20388349514563098
75	0.9559471365638766	0.04405286343612336
76	0.975609756097561	0.024390243902439046
77	0.978902953586498	0.021097046413501963
80	0.991701244813278	0.008298755186721962
81	0.9875	0.012499999999999956
82	0.9875	0.012499999999999956
88	0.9919354838709676	0.008064516129032362
