Amplicon	AY.46.1	BA.1.1
9	0.4645669291338582	0.5354330708661418
14	0.421875	0.578125
21	0.4	0.6
24	0.4	0.6
28	0.42801556420233466	0.5719844357976653
30	0.4135338345864661	0.5864661654135339
34	0.38636363636363635	0.6136363636363636
35	0.38636363636363635	0.6136363636363636
36	0.4538461538461538	0.5461538461538462
38	0.49193548387096775	0.5080645161290323
50	0.5461847389558233	0.4538152610441767
51	0.5461847389558233	0.4538152610441767
54	0.3992094861660079	0.6007905138339922
55	0.3992094861660079	0.6007905138339922
71	0.4365079365079365	0.5634920634920635
72	0.4365079365079365	0.5634920634920635
75	0.3615384615384616	0.6384615384615384
76	0.6326530612244898	0.36734693877551017
78	0.0	1.0
79	0.0	1.0
80	0.38565022421524664	0.6143497757847534
81	0.4633204633204633	0.5366795366795367
82	0.4633204633204633	0.5366795366795367
85	0.4047619047619047	0.5952380952380953
86	0.3983739837398374	0.6016260162601625
87	0.5301204819277109	0.4698795180722891
88	0.45833333333333337	0.5416666666666666
89	0.3927125506072874	0.6072874493927126
92	0.3700787401574803	0.6299212598425197
93	0.3469387755102041	0.653061224489796
94	0.32061068702290074	0.6793893129770993
95	0.5632183908045977	0.4367816091954023
98	0.3560606060606061	0.6439393939393939
