Amplicon	AY.41	BA.2.62
2	0.050000000000000044	0.95
3	0.050000000000000044	0.95
9	0.05882352941176483	0.9411764705882352
31	0.033333333333333215	0.9666666666666668
32	0.06451612903225801	0.935483870967742
34	0.12	0.88
35	0.12	0.88
52	0.1333333333333333	0.8666666666666667
66	0.33333333333333337	0.6666666666666666
73	0.04761904761904756	0.9523809523809524
74	0.04761904761904756	0.9523809523809524
77	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.15000000000000002	0.85
81	0.1842105263157895	0.8157894736842105
82	0.1842105263157895	0.8157894736842105
87	0.15555555555555556	0.8444444444444444
88	0.13953488372093026	0.8604651162790697
89	0.0	1.0
91	0.17021276595744683	0.8297872340425532
94	0.2545454545454545	0.7454545454545455
95	0.0	1.0
99	0.10909090909090913	0.8909090909090909
