Amplicon	AY.41	BA.2.24
2	0.4666666666666667	0.5333333333333333
3	0.4666666666666667	0.5333333333333333
9	0.36363636363636365	0.6363636363636364
14	0.5294117647058824	0.47058823529411764
24	0.3023255813953488	0.6976744186046512
30	0.3023255813953488	0.6976744186046512
31	0.25	0.75
32	0.25806451612903225	0.7419354838709677
34	0.27586206896551724	0.7241379310344828
35	0.27586206896551724	0.7241379310344828
52	0.19999999999999996	0.8
54	0.2352941176470588	0.7647058823529412
55	0.2352941176470588	0.7647058823529412
66	0.5116279069767442	0.4883720930232558
73	0.2857142857142857	0.7142857142857143
74	0.2857142857142857	0.7142857142857143
78	0.0	1.0
79	0.0	1.0
80	0.19148936170212771	0.8085106382978723
81	0.20833333333333337	0.7916666666666666
82	0.20833333333333337	0.7916666666666666
87	0.25	0.75
88	0.196078431372549	0.803921568627451
89	0.0	1.0
91	0.18367346938775508	0.8163265306122449
94	0.34375	0.65625
95	0.0	1.0
99	0.23076923076923073	0.7692307692307693
