Amplicon	AY.41	BA.2.62
2	0.5555555555555556	0.4444444444444444
3	0.5555555555555556	0.4444444444444444
9	0.6666666666666667	0.33333333333333326
14	0.75	0.25
21	0.45	0.55
24	0.574468085106383	0.42553191489361697
30	0.5555555555555556	0.4444444444444444
31	0.5106382978723405	0.4893617021276595
32	0.5106382978723405	0.4893617021276595
34	0.5	0.5
35	0.5	0.5
37	0.5625	0.4375
45	0.3333333333333333	0.6666666666666667
52	0.43243243243243246	0.5675675675675675
54	0.3125	0.6875
55	0.3125	0.6875
66	0.5945945945945946	0.4054054054054054
73	0.53125	0.46875
74	0.53125	0.46875
77	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.5142857142857142	0.48571428571428577
81	0.5573770491803278	0.4426229508196722
82	0.5806451612903226	0.4193548387096774
83	0.5	0.5
85	0.5	0.5
87	0.5074626865671642	0.4925373134328358
88	0.5217391304347826	0.4782608695652174
89	0.4929577464788732	0.5070422535211268
91	0.5074626865671642	0.4925373134328358
92	0.4736842105263157	0.5263157894736843
93	0.4754098360655737	0.5245901639344264
94	0.46875	0.53125
95	0.4915254237288136	0.5084745762711864
98	0.4444444444444444	0.5555555555555556
99	0.5	0.5
