Amplicon	AY.41	BA.2.62
2	0.4375	0.5625
3	0.4375	0.5625
9	0.5217391304347826	0.4782608695652174
14	0.6818181818181818	0.31818181818181823
21	0.4090909090909091	0.5909090909090908
24	0.5	0.5
30	0.4909090909090909	0.509090909090909
31	0.5853658536585367	0.41463414634146334
32	0.6285714285714286	0.37142857142857144
34	0.5833333333333333	0.41666666666666674
35	0.5833333333333333	0.41666666666666674
37	0.6551724137931034	0.3448275862068966
45	0.4347826086956521	0.5652173913043479
52	0.6046511627906976	0.39534883720930236
54	0.5294117647058824	0.47058823529411764
55	0.5294117647058824	0.47058823529411764
66	0.45833333333333337	0.5416666666666666
73	0.5416666666666667	0.45833333333333326
74	0.5416666666666667	0.45833333333333326
77	0.0	1.0
78	0.0	1.0
79	0.0	1.0
80	0.44897959183673475	0.5510204081632653
81	0.42307692307692313	0.5769230769230769
82	0.42307692307692313	0.5769230769230769
83	0.4482758620689655	0.5517241379310345
85	0.4626865671641791	0.5373134328358209
87	0.4571428571428572	0.5428571428571428
88	0.46153846153846156	0.5384615384615384
89	0.4626865671641791	0.5373134328358209
91	0.4838709677419355	0.5161290322580645
92	0.492063492063492	0.507936507936508
93	0.4864864864864865	0.5135135135135135
94	0.5573770491803278	0.4426229508196722
95	0.4516129032258064	0.5483870967741936
98	0.4153846153846154	0.5846153846153845
99	0.4347826086956522	0.5652173913043478
