Amplicon	AY.41	BA.2.24
2	0.3125	0.6875
3	0.3125	0.6875
9	0.33333333333333337	0.6666666666666666
14	0.5333333333333333	0.4666666666666667
24	0.3636363636363636	0.6363636363636365
31	0.0714285714285714	0.9285714285714286
32	0.0714285714285714	0.9285714285714286
34	0.15384615384615385	0.8461538461538461
35	0.15384615384615385	0.8461538461538461
52	0.21739130434782605	0.782608695652174
66	0.375	0.625
73	0.19565217391304346	0.8043478260869565
74	0.19565217391304346	0.8043478260869565
78	0.0	1.0
79	0.0	1.0
80	0.1777777777777778	0.8222222222222222
81	0.25	0.75
82	0.25	0.75
83	0.2452830188679245	0.7547169811320755
85	0.2333333333333333	0.7666666666666667
87	0.23333333333333328	0.7666666666666667
88	0.25	0.75
89	0.0	1.0
91	0.2647058823529411	0.7352941176470589
92	0.2894736842105263	0.7105263157894737
93	0.2658227848101265	0.7341772151898736
94	0.37681159420289856	0.6231884057971014
95	0.0	1.0
99	0.2295081967213115	0.7704918032786885
