Amplicon	AY.39.1.4	BA.1.17
9	0.523809523809524	0.47619047619047605
14	0.4175824175824176	0.5824175824175823
19	0.4358974358974359	0.5641025641025641
20	0.4358974358974359	0.5641025641025641
21	0.4244604316546763	0.5755395683453237
24	0.4378378378378378	0.5621621621621622
28	0.5	0.5
30	0.456	0.544
34	0.6293706293706294	0.3706293706293706
35	0.6293706293706294	0.3706293706293706
37	0.4883720930232558	0.5116279069767442
38	0.6415094339622642	0.35849056603773577
50	0.7176470588235294	0.2823529411764706
51	0.7176470588235294	0.2823529411764706
54	0.4418604651162791	0.5581395348837209
55	0.4418604651162791	0.5581395348837209
71	0.4693877551020408	0.5306122448979592
72	0.4488188976377952	0.5511811023622049
75	0.4779874213836478	0.5220125786163522
76	0.4829931972789115	0.5170068027210886
78	0.0	1.0
79	0.0	1.0
80	0.5974025974025974	0.4025974025974026
81	0.5408805031446541	0.4591194968553459
82	0.5408805031446541	0.4591194968553459
85	0.4098360655737705	0.5901639344262295
87	0.5670103092783505	0.4329896907216495
88	0.4299065420560748	0.5700934579439252
89	0.3373493975903614	0.6626506024096386
93	0.5662650602409639	0.4337349397590361
94	0.6804123711340206	0.31958762886597936
95	0.4271356783919598	0.5728643216080402
98	0.3789954337899543	0.6210045662100456
