Amplicon	P.1.1	P.2
13	0.2074074074074074	0.7925925925925926
35	0.25806451612903225	0.7419354838709677
40	0.2547770700636943	0.7452229299363057
57	0.2137931034482758	0.7862068965517242
71	0.2873563218390804	0.7126436781609196
72	0.2873563218390804	0.7126436781609196
73	0.1944444444444444	0.8055555555555556
74	0.1743119266055046	0.8256880733944953
76	0.2923076923076923	0.7076923076923076
77	0.3379310344827586	0.6620689655172414
78	0.3205128205128205	0.6794871794871795
82	0.3928571428571428	0.6071428571428572
87	0.4782608695652174	0.5217391304347826
94	0.4117647058823529	0.5882352941176471
95	0.5203619909502263	0.4796380090497737
96	0.5465116279069767	0.4534883720930233
97	0.5465116279069767	0.4534883720930233
