Amplicon	AY.107	B.1.1.529
14	0.7735849056603774	0.2264150943396226
21	0.1794871794871795	0.8205128205128205
30	0.991150442477876	0.008849557522124019
37	0.9918367346938776	0.008163265306122436
49	0.9918367346938776	0.008163265306122436
50	0.9918367346938776	0.008163265306122436
54	0.987603305785124	0.012396694214875992
55	0.987603305785124	0.012396694214875992
75	0.5263157894736843	0.4736842105263157
76	0.9838709677419356	0.01612903225806439
78	1.0	0.0
80	0.07692307692307676	0.9230769230769232
83	0.9829059829059827	0.017094017094017255
85	0.9958333333333332	0.004166666666666763
89	0.9875	0.012499999999999956
94	0.8	0.19999999999999996
95	0.625	0.375
