Amplicon	BA.1.10	BA.2
9	0.9919028340080972	0.0080971659919028
28	0.9838709677419356	0.01612903225806439
38	0.9876543209876544	0.012345679012345623
50	0.9879518072289156	0.012048192771084376
51	0.9879518072289156	0.012048192771084376
56	0.97165991902834	0.028340080971659964
57	0.97165991902834	0.028340080971659964
75	0.991304347826087	0.008695652173912993
76	0.9873949579831932	0.012605042016806789
77	0.9913793103448276	0.008620689655172376
80	0.979757085020243	0.020242914979757054
81	0.9875	0.012499999999999956
82	0.9875	0.012499999999999956
88	0.979757085020243	0.020242914979757054
