Amplicon	BA.1.10	BA.2.23
28	0.9958847736625516	0.00411522633744843
38	0.9838056680161944	0.0161943319838056
50	0.995967741935484	0.004032258064516014
51	0.995967741935484	0.004032258064516014
56	0.9878048780487804	0.012195121951219634
57	0.9878048780487804	0.012195121951219634
73	0.8444444444444446	0.15555555555555545
74	0.8444444444444446	0.15555555555555545
75	0.9733333333333334	0.026666666666666616
76	0.9748953974895398	0.025104602510460206
77	0.9832635983263598	0.01673640167364021
80	0.9755102040816328	0.024489795918367196
81	0.9836065573770492	0.016393442622950838
82	0.9836065573770492	0.016393442622950838
88	0.979591836734694	0.020408163265306034
