Amplicon	AY.39.1.4	BA.1.17
9	0.7539267015706808	0.24607329842931924
14	0.6717948717948717	0.32820512820512826
19	0.7319148936170212	0.2680851063829788
20	0.7319148936170212	0.2680851063829788
21	0.7819905213270142	0.2180094786729858
24	0.7320574162679426	0.26794258373205737
30	0.7037037037037037	0.2962962962962963
37	0.6915422885572139	0.3084577114427861
38	0.7628865979381444	0.2371134020618556
50	0.7865168539325843	0.2134831460674157
51	0.7865168539325843	0.2134831460674157
54	0.7474747474747475	0.2525252525252525
55	0.7474747474747475	0.2525252525252525
71	0.8165137614678899	0.1834862385321101
72	0.8165137614678899	0.1834862385321101
75	0.6961325966850829	0.30386740331491713
78	1.0	0.0
85	0.8607594936708861	0.1392405063291139
87	0.8241206030150754	0.1758793969849246
88	0.7586206896551724	0.24137931034482762
89	0.5314285714285715	0.4685714285714285
96	1.0	0.0
97	1.0	0.0
98	0.7457627118644068	0.2542372881355932
