Amplicon	AY.39.1.4	BA.1.17
9	0.8064516129032258	0.19354838709677424
14	0.7697841726618705	0.2302158273381295
19	0.7789473684210527	0.22105263157894728
20	0.7789473684210527	0.22105263157894728
21	0.7560975609756098	0.24390243902439024
24	0.6875	0.3125
28	0.7483870967741937	0.2516129032258063
30	0.6	0.4
34	0.8032786885245902	0.19672131147540983
35	0.8032786885245902	0.19672131147540983
37	0.7319587628865979	0.2680412371134021
38	0.7272727272727273	0.2727272727272727
50	0.8029197080291971	0.1970802919708029
51	0.8029197080291971	0.1970802919708029
54	0.7468354430379747	0.25316455696202533
55	0.7468354430379747	0.25316455696202533
71	0.7304964539007093	0.2695035460992907
72	0.6808510638297872	0.3191489361702128
75	0.6620689655172414	0.33793103448275863
76	0.7731958762886598	0.22680412371134018
78	0.0	1.0
79	0.0	1.0
80	0.7564102564102565	0.2435897435897435
81	0.796875	0.203125
85	0.7307692307692307	0.2692307692307693
87	0.8333333333333334	0.16666666666666663
88	0.6871165644171779	0.31288343558282206
89	0.712	0.28800000000000003
93	0.765625	0.234375
96	1.0	0.0
97	1.0	0.0
98	0.7595628415300546	0.2404371584699454
