Amplicon	AY.39.1.2	BA.1.17
5	0.4454545454545454	0.5545454545454547
6	0.4454545454545454	0.5545454545454547
9	0.5172413793103448	0.48275862068965525
14	0.3471502590673575	0.6528497409326425
19	0.5538461538461539	0.4461538461538461
20	0.5538461538461539	0.4461538461538461
21	0.5	0.5
24	0.4516129032258064	0.5483870967741936
28	0.47787610619469023	0.5221238938053098
30	0.4848484848484848	0.5151515151515151
34	0.4424778761061947	0.5575221238938053
35	0.4424778761061947	0.5575221238938053
37	0.413953488372093	0.586046511627907
38	0.5529411764705883	0.44705882352941173
50	0.5373134328358209	0.4626865671641791
51	0.5373134328358209	0.4626865671641791
54	0.4594594594594595	0.5405405405405406
55	0.4594594594594595	0.5405405405405406
61	0.4009661835748792	0.5990338164251208
71	0.4893617021276595	0.5106382978723405
72	0.4893617021276595	0.5106382978723405
75	0.5164835164835164	0.4835164835164836
76	0.5466666666666666	0.45333333333333337
78	1.0	0.0
85	0.2682926829268293	0.7317073170731707
87	0.5023696682464456	0.4976303317535544
88	0.5547445255474452	0.44525547445255476
89	0.2446808510638297	0.7553191489361704
98	0.3949579831932773	0.6050420168067228
