Amplicon	BA.1	BA.2.34
2	0.7040816326530612	0.29591836734693877
3	0.7040816326530612	0.29591836734693877
9	0.5157894736842106	0.4842105263157894
14	0.639344262295082	0.360655737704918
28	0.5481171548117155	0.4518828451882845
31	0.5934959349593496	0.4065040650406504
32	0.6054054054054054	0.39459459459459456
38	0.569620253164557	0.430379746835443
50	0.4859813084112149	0.5140186915887851
51	0.4859813084112149	0.5140186915887851
52	0.580952380952381	0.419047619047619
66	0.5729166666666667	0.42708333333333326
71	0.6666666666666667	0.33333333333333326
72	0.6020942408376964	0.39790575916230364
73	0.0	1.0
74	0.0	1.0
75	0.0	1.0
76	0.421875	0.578125
77	0.4318181818181818	0.5681818181818181
80	0.5188679245283019	0.4811320754716981
81	0.5234042553191489	0.4765957446808511
82	0.5234042553191489	0.4765957446808511
88	0.1327433628318584	0.8672566371681416
91	0.6463414634146343	0.3536585365853657
98	0.7682926829268293	0.23170731707317072
99	0.7682926829268293	0.23170731707317072
