Amplicon	AY.39.1.4	BA.1.17
14	0.7345132743362832	0.2654867256637168
21	0.627906976744186	0.37209302325581395
24	0.7205882352941176	0.27941176470588236
30	0.7862068965517242	0.21379310344827585
34	0.8095238095238095	0.19047619047619047
35	0.8095238095238095	0.19047619047619047
37	0.7643504531722054	0.2356495468277946
54	0.8140845070422535	0.18591549295774645
55	0.8140845070422535	0.18591549295774645
71	0.805	0.19499999999999995
72	0.805	0.19499999999999995
78	0.9945054945054944	0.005494505494505586
85	0.7894736842105263	0.21052631578947367
89	0.7674418604651163	0.2325581395348837
96	0.9775280898876404	0.022471910112359605
97	0.9775280898876404	0.022471910112359605
98	0.7967479674796748	0.2032520325203252
